Origin Time,Latitude,Longitude,Depth,Magnitude,Location,Total Fatalities,Total Injuries,Estimated Economic Loss (USD),Buildings Collapsed,Population Density
2021-07-23 11:46:58 IST,25.94,92.56,5,2.9,"73km E of Nongpoh, Meghalaya, India",1,2,63394,11,4822
2021-07-22 16:28:47 IST,24.84,94.15,40,3.5,"21km E of Imphal, Manipur, India",3,2,72163,8,8391
2021-07-22 07:42:15 IST,29.65,69.5,15,4.8,"413km WNW of Bikaner, Rajasthan, India",4,5,120267,12,321
2021-07-21 12:45:04 IST,27.32,88.86,10,2.8,"24km E of Gangtok, Sikkim",1,5,43070,9,6588
2021-07-21 10:12:30 IST,36.88,71.61,23,3.6,"97km ESE of Fayzabad, Afghanistan",3,5,36783,12,11349
2021-07-21 05:24:29 IST,29.19,70.05,110,5.3,"343km WNW of Bikaner, Rajasthan, India",1,6,112411,11,2505
2021-07-21 04:57:46 IST,34.2,77.78,200,3.6,"19km ENE of Leh, Laddakh, India",4,4,98655,6,1015
2021-07-21 02:10:49 IST,25.88,90.34,10,4.1,"42km NNE of Tura, Meghalaya, India",4,9,108434,8,12548
2021-07-21 02:06:28 IST,29.01,76.91,5,2.1,"32km ENE of Rohtak, Haryana, India",2,7,116381,9,9278
2021-07-21 01:18:07 IST,29.01,76.91,5,2.3,"32km ENE of Rohtak, Haryana, India",0,2,102868,11,2689
2021-07-20 23:19:21 IST,29.28,69.05,250,4.5,"438km WNW of Bikaner, Rajasthan, India",0,3,130404,5,12104
2021-07-19 21:03:34 IST,20.02,72.92,5,3.4,"90km W of Nashik, Maharashtra, India",2,4,104871,9,9889
2021-07-19 18:46:58 IST,27.4,88.62,10,3.2,"6km N of Gangtok, Sikkim, India",2,6,-365,13,5045
2021-07-18 20:44:34 IST,28.84,81.22,23,3.8,"127km SE of Pithoragarh, Uttarakhand, India",2,7,12605,15,5674
2021-07-18 12:43:39 IST,23.39,70.39,10,3.9,"127km NNW of Rajkot, Gujarat, India",1,4,196397,8,2380
2021-07-18 10:08:58 IST,34.13,77.8,20,3.7,"20km E of Leh, Laddakh, India",5,5,100003,8,12537
2021-07-18 04:48:28 IST,32.43,76.48,10,2.6,"27km NNE of Dharamshala, Himachal Pradesh, India",4,5,147512,10,7659
2021-07-18 02:59:02 IST,28.75,76.6,10,2.2,"16km S of Rohtak, Haryana, India",0,3,82714,7,8377
2021-07-18 02:55:14 IST,28.69,76.71,10,2.8,"10km NNE of Jhajjar, Haryana",1,3,97099,10,13258
2021-07-16 23:32:28 IST,31.58,78.19,5,3.1,"97km NNW of Uttarkashi, Uttarakhand, India",2,7,77331,8,286
2021-07-16 09:54:15 IST,37.23,71.25,146,3.6,"63km ENE of Fayzabad, Afghanistan",2,3,223296,14,1050
2021-07-16 08:39:11 IST,26.48,92.44,10,3.4,"40km WSW of Tezpur, Assam, India",0,8,112662,14,2465
2021-07-16 00:51:46 IST,22.48,94.42,10,3.1,"155km SE of Champhai, Mizoram, India",2,8,73257,8,499
2021-07-15 19:47:26 IST,31.19,77.92,10,3.6,"71km NW of Uttarkashi, Uttarakhand, India",2,5,17423,7,9889
2021-07-15 07:23:18 IST,17.47,73.26,5,3.5,"132km SSW of Pune, Maharashtra, India",3,5,198686,14,9526
2021-07-15 05:48:34 IST,36.66,71.64,10,4,"108km ESE of Fayzabad, Afghanistan",1,3,91836,7,3201
2021-07-15 02:04:40 IST,23.46,94.61,19,4.4,"130km E of Champhai, Mizoram, India",0,3,137211,9,2283
2021-07-15 01:40:51 IST,22.45,94.19,10,3.8,"142km SE of Champhai, Mizoram, India",2,6,142799,15,2227
2021-07-15 00:03:08 IST,36.52,71.14,10,3.5,"83km SE of Fayzabad, Afghanistan",2,5,76858,7,14300
2021-07-14 23:33:26 IST,28.89,89,10,3.4,"135km N of Lachung, Sikkim, India",1,4,133622,13,10417
2021-07-14 19:55:09 IST,25.99,90.4,8,3.4,"56km NNE of Tura, Meghalaya, India",3,6,69793,10,8802
2021-07-14 13:47:49 IST,36.52,71.31,70,3.9,"93km SE of Fayzabad, Afghanistan",2,3,50478,5,4871
2021-07-14 11:17:27 IST,36.56,71.43,20,3.9,"98km SE of Fayzabad, Afghanistan",3,12,158223,10,6523
2021-07-14 02:40:33 IST,36.47,70.72,165,4.6,"71km SSE of Fayzabad, Afghanistan",2,1,92090,10,1386
2021-07-13 22:40:28 IST,29.12,77.4,5,2.4,"59km NNE of New Delhi, India",0,6,125925,9,14972
2021-07-13 01:44:59 IST,14.5,93.14,10,4.2,"138km N of Diglipur, Andaman and Nicobar island, India",2,1,120546,8,11338
2021-07-12 04:49:18 IST,38.44,71.59,10,3.1,"174km NNE of Fayzabad, Afghanistan",1,6,131896,8,9340
2021-07-11 12:19:09 IST,39.11,69.57,130,3.8,"91km NE of Dushanbe, Tajikistan",1,1,22173,5,8837
2021-07-11 08:42:04 IST,19.7,77.28,10,3,"114km SSE of Akola,Maharashtra,India",3,4,70735,7,7589
2021-07-11 08:33:17 IST,19.73,77.77,10,4.4,"122km NNW of Nizamabad, Telangana, India",1,3,83776,6,3898
2021-07-11 07:04:49 IST,38.81,70.34,10,4.2,"137km ENE of Dushanbe, Tajikistan",4,3,58426,11,3434
2021-07-10 11:36:10 IST,39.14,70.94,160,4.3,"197km ENE of Dushanbe, Tajikistan",2,5,121450,9,8265
2021-07-10 11:18:08 IST,39.04,70.68,160,4.7,"172km ENE of Dushanbe, Tajikistan",0,5,159344,7,1099
2021-07-10 08:11:14 IST,2.25,97.29,40,5.5,"498km WSW of Kuala Lumpur, Malaysia",4,5,167259,11,1163
2021-07-10 07:44:46 IST,38.91,70.73,37,5.9,"173km ENE of Dushanbe, Tajikistan",5,9,83039,6,8434
2021-07-10 07:31:12 IST,26.62,92.45,17,3.1,"34km W of Tezpur, Assam, India",2,3,114598,7,13801
2021-07-09 13:16:25 IST,25.99,90.27,5,4.3,"53km N of Tura, Meghalaya, India",0,3,122282,10,13718
2021-07-09 07:08:35 IST,37.05,72,90,4.6,"128km E of Fayzabad, Afghanistan",0,6,131062,13,211
2021-07-09 05:56:27 IST,24.7,94.99,90,4.5,"57km ESE of Ukhrul, Manipur, India",1,6,56093,20,1655
2021-07-08 18:53:26 IST,34.83,97.83,10,4.8,"782km NNE of Pangin, Arunachal Pradesh, India",1,3,191029,13,8767
2021-07-08 17:02:43 IST,26.34,92.79,15,2.9,"34km S of Tezpur, Assam, India",2,7,146326,14,12734
2021-07-08 13:50:55 IST,36.51,71.26,167,5.1,"91km SE of Fayzabad, Afghanistan",2,4,147632,9,14319
2021-07-08 04:22:13 IST,37.4,73.03,10,4.1,"222km E of Fayzabad, Afghanistan",5,1,160173,7,12915
2021-07-07 15:32:07 IST,31.66,96.56,10,3.9,"410km NNE of Pangin, Arunachal Pradesh, India",1,7,126706,10,10180
2021-07-07 13:56:42 IST,25.97,90.42,10,3.7,"55km NNE of Tura, Meghalaya, India",2,7,48634,9,3047
2021-07-07 12:57:13 IST,34.68,98.42,22,4.5,"785km NNE of Pangin, Arunachal Pradesh, India",4,2,93051,7,1135
2021-07-07 08:45:25 IST,26.15,90.28,14,5.2,"71km N of Tura, Meghalaya, India",1,5,17447,10,760
2021-07-06 23:46:17 IST,37.78,74.16,10,4.3,"327km ENE of Fayzabad, Afghanistan",2,6,120753,9,9200
2021-07-06 19:47:58 IST,37.3,72.52,10,4.1,"175km E of Fayzabad, Afghanistan",1,9,91539,8,591
2021-07-06 15:10:49 IST,37.5,69.18,46,3.9,"122km SSE of Dushanbe, Tajikistan",4,3,97973,15,11101
2021-07-05 22:36:54 IST,28.7,76.65,5,3.7,"10km N of Jhajjar, Haryana",5,4,160200,13,10701
2021-07-05 20:20:59 IST,24.67,94.14,20,2.8,"26km SE of Imphal, Manipur, India",2,10,77150,10,1240
2021-07-05 16:36:17 IST,22.46,93.64,10,3.5,"115km SSE of Champhai, Mizoram, India",1,4,87393,8,13604
2021-07-05 09:04:09 IST,27.25,89.38,14,2.9,"35km SW of Thimphu, Bhutan",3,4,101098,12,7852
2021-07-05 03:18:37 IST,32.89,98.86,120,4.6,"610km NNE of Changlang, Arunachal Pradesh, India",2,4,8000,11,13571
2021-07-04 23:46:23 IST,39.17,71.78,50,4.1,"254km NNE of Fayzabad, Afghanistan",5,7,86696,11,13529
2021-07-04 22:27:15 IST,26.22,96.31,45,3.8,"172km S of Changlang, Arunachal Pradesh, India",5,8,-24289,9,2995
2021-07-04 19:00:52 IST,24.81,93.9,30,3.3,"3km WSW of Imphal, Manipur, India",5,6,70723,8,5739
2021-07-03 23:02:19 IST,36.55,70.86,168,3.9,"67km SSE of Fayzabad, Afghanistan",1,6,142759,12,2062
2021-07-01 07:07:43 IST,20.05,72.94,5,3.6,"89km W of Nashik, Maharashtra, India",0,3,122363,13,11635
2021-06-30 21:35:36 IST,20.01,72.83,5,3.1,"100km W of Nashik, Maharashtra, India",1,5,70258,11,7586
2021-06-30 21:02:17 IST,26.52,92.52,65,2.7,"30km WSW of Tezpur, Assam, India",2,6,102039,12,13935
2021-06-29 18:37:25 IST,27.4,89.54,50,3.1,"12km SW of Thimphu, Bhutan",1,2,46250,10,3162
2021-06-28 12:18:05 IST,30.084,80.26,10,3.7,"55km N of Pithoragarh, Uttarakhand, India",0,8,99882,7,10341
2021-06-28 06:10:35 IST,34.49,78.43,18,4.6,"86km ENE of Leh, Laddakh, India",2,5,246516,6,14839
2021-06-26 01:26:59 IST,39.32,75.05,10,3.8,"397km S of Bishkek, Kyrgyzstan",2,4,192290,8,9997
2021-06-26 00:36:34 IST,25.48,93.79,10,2.3,"36km S of Chumukedima, Nagaland, India",1,4,102631,9,1078
2021-06-25 09:26:35 IST,37.12,72.11,30,3.9,"138km E of Fayzabad, Afghanistan",0,2,108007,11,8846
2021-06-25 06:41:19 IST,36.6,71.27,16,3.8,"84km SE of Fayzabad, Afghanistan",3,5,51021,12,2738
2021-06-25 04:34:44 IST,34.87,69.15,10,5.3,"35km N of Kabul , Afghanistan",3,5,59910,12,506
2021-06-24 11:57:00 IST,20.01,72.95,5,3.7,"87km W of Nashik, Maharashtra, India",1,4,118109,7,5057
2021-06-24 10:28:58 IST,35.81,70.93,131,4.5,"147km SSE of Fayzabad, Afghanistan",0,2,73755,9,4028
2021-06-24 02:19:42 IST,39.81,77.07,10,3.9,"399km SSE of Bishkek, Kyrgyzstan",0,4,145207,17,11842
2021-06-23 06:39:14 IST,33.38,71.51,100,4.5,"146km WSW of Islamabad, Pakistan",4,4,178484,8,5636
2021-06-22 22:14:35 IST,28.13,92.09,70,4.6,"64km NNE of Tawang, Arunachal Pradesh, India",1,1,116631,10,11007
2021-06-21 15:37:03 IST,28.28,87.82,10,4,"108km NNW of Yuksom, Sikkim, India",3,8,105086,6,292
2021-06-21 12:57:41 IST,26.53,92.67,15,2.8,"18km SW of Tezpur, Assam, India",4,4,15961,10,271
2021-06-21 06:56:04 IST,1.6,92.23,10,4.9,"629km SSW of Campbell Bay, Andaman and Nicobar island, India",1,10,137380,8,488
2021-06-21 06:09:41 IST,27,93.43,10,3,"19km WSW of Itanagar, Arunachal Pradesh, India",1,6,42816,9,3329
2021-06-20 12:02:01 IST,28.67,77.14,7,2.1,"8km NW of New Delhi, India",0,3,79099,11,5641
2021-06-20 05:41:49 IST,31.29,78.46,15,3.1,"62km N of Uttarkashi, Uttarakhand, India",0,6,147978,8,9137
2021-06-20 01:31:43 IST,29.55,84.31,15,4.3,"226km NNW of Kathmandu, Nepal",0,4,151487,16,14789
2021-06-20 01:22:50 IST,25.28,94.3,30,3.6,"20km NW of Shirui, Manipur, India",3,3,76674,10,5348
2021-06-20 01:02:07 IST,28.89,94.79,17,3.1,"95km NNW of Pangin, Arunachal Pradesh, India",2,2,79554,14,882
2021-06-19 19:29:15 IST,31.9,69.92,10,4.8,"302km SSE of Kabul , Afghanistan",2,3,65034,7,2963
2021-06-19 01:07:32 IST,26.72,92.4,30,4.2,"39km W of Tezpur, Assam, India",1,5,40107,11,13472
2021-06-18 15:45:42 IST,23.42,70.32,20,4,"133km NNW of Rajkot, Gujarat, India",2,3,68260,17,10505
2021-06-18 12:42:51 IST,26.73,92.4,10,2.8,"39km WNW of Tezpur, Assam, India",2,4,19343,10,11863
2021-06-18 04:20:21 IST,25.67,91.29,10,2.6,"58km WSW of Nongpoh, Meghalaya, India",0,3,134153,4,1906
2021-06-18 02:04:40 IST,26.73,92.44,22,4.1,"36km WNW of Tezpur, Assam, India",1,6,119726,8,2068
2021-06-18 01:06:08 IST,24.3,94.1,10,3,"39km ESE of Moirang, Manipur, India",3,5,128026,7,1728
2021-06-17 19:49:40 IST,34.73,73.26,20,4.8,"118km N of Islamabad, Pakistan",4,5,52279,8,12864
2021-06-17 16:44:44 IST,7.29,84.63,50,4.8,"527km E of Colombo, Sri Lanka",3,4,40246,11,3189
2021-06-16 14:18:59 IST,38.02,93.53,10,5.4,"1110km N of Pangin, Arunachal Pradesh, India",0,4,102675,12,9665
2021-06-16 08:01:58 IST,36.07,65.46,10,4.1,"379km WNW of Kabul , Afghanistan",0,6,103205,8,7766
2021-06-16 03:22:18 IST,34.29,70.27,30,4.4,"101km ESE of Kabul , Afghanistan",0,4,92636,7,8188
2021-06-16 02:24:45 IST,23.83,94,15,2.7,"77km SSE of Moirang, Manipur, India",1,6,85525,14,2971
2021-06-15 22:53:57 IST,26.59,92.19,10,3,"60km W of Tezpur, Assam, India",2,4,185538,5,9546
2021-06-15 20:16:07 IST,26.65,97,10,4.4,"126km SSE of Changlang, Arunachal Pradesh, India",2,5,121301,6,694
2021-06-15 15:43:42 IST,31.68,75.56,36,2.9,"39km N of Jalandhar, Punjab, India",5,5,198533,9,14902
2021-06-14 18:35:46 IST,37.75,73.21,10,4,"245km ENE of Fayzabad, Afghanistan",1,4,163448,8,450
2021-06-14 01:15:54 IST,37.22,72.47,50,3.9,"170km E of Fayzabad, Afghanistan",3,5,185163,9,799
2021-06-13 22:47:35 IST,26.52,92.28,10,2.8,"53km WSW of Tezpur, Assam, India",4,3,46276,15,4903
2021-06-13 12:58:08 IST,36.39,71.3,110,4,"103km SE of Fayzabad, Afghanistan",2,4,129658,14,12482
2021-06-13 03:08:25 IST,17.69,95.69,10,3.9,"106km NNW of Rangoon, Myanmar",3,6,78411,8,3894
2021-06-13 00:01:27 IST,20.81,84.99,5,3.5,"104km WNW of Bhubaneswar, Odisha, India",2,6,16830,8,7105
2021-06-12 15:30:51 IST,24.85,97.85,19,4.9,"340km E of Ukhrul, Manipur, India",1,1,174800,8,318
2021-06-12 07:14:43 IST,36.48,70.78,30,4.3,"71km SSE of Fayzabad, Afghanistan",4,3,85315,13,1229
2021-06-11 04:53:12 IST,27.07,92.52,10,3.6,"53km NNW of Tezpur, Assam, India",1,4,47244,8,9139
2021-06-09 17:06:01 IST,31.96,72.89,10,4.1,"190km W of Amritsar, Punjab, India",3,6,79271,11,2955
2021-06-08 18:58:38 IST,36.26,71.83,120,4.3,"147km SE of Fayzabad, Afghanistan",1,4,60188,8,10429
2021-06-08 18:56:48 IST,34.4,81.6,10,3.9,"309km NE of Hanley, Jammu & Kashmir, India",1,3,65315,9,11791
2021-06-06 21:26:45 IST,37.04,72.66,20,4.1,"187km E of Fayzabad, Afghanistan",3,14,88919,6,12762
2021-06-06 06:21:52 IST,32.99,75.82,5,2.5,"82km E of Katra, Jammu and Kashmir, India",0,5,186540,9,2050
2021-06-06 00:07:15 IST,24.48,94.48,47,2.6,"50km S of Ukhrul, Manipur, India",1,4,66684,5,6859
2021-06-05 14:04:49 IST,37.47,72.6,10,3.7,"186km ENE of Fayzabad, Afghanistan",1,5,182963,9,14208
2021-06-05 00:47:17 IST,25.29,94.68,10,3.1,"31km NE of Shirui, Manipur, India",0,5,142441,12,11592
2021-06-04 18:58:16 IST,31.7,68.72,10,4.1,"320km S of Kabul , Afghanistan",1,7,119813,17,1798
2021-06-04 15:02:13 IST,24.97,94.96,80,3.6,"48km E of Ukhrul, Manipur, India",2,7,137406,10,7562
2021-06-03 23:04:00 IST,32.41,76.51,10,2.9,"27km NE of Dharamshala, Himachal Pradesh, India",0,7,100682,9,13839
2021-06-03 11:25:23 IST,34.68,97.8,63,4.8,"765km NNE of Pangin, Arunachal Pradesh, India",3,2,164302,11,6628
2021-06-03 08:16:27 IST,24.27,94.28,10,3.5,"56km ESE of Moirang, Manipur, India",4,5,128349,10,12569
2021-06-03 02:17:44 IST,36.9,67.75,150,4.1,"205km SSW of Dushanbe, Tajikistan",4,3,16766,5,7462
2021-06-03 01:20:19 IST,37.74,68.24,120,3.8,"102km SSW of Dushanbe, Tajikistan",1,7,114812,11,1646
2021-06-03 01:15:38 IST,10.6,91.52,10,4.2,"174km SW of Portblair, Andaman and Nicobar island, India",1,2,139198,9,2260
2021-06-02 23:26:59 IST,36.39,68.39,10,4.3,"208km WSW of Fayzabad, Afghanistan",0,6,85549,5,747
2021-06-02 16:33:27 IST,26.41,90.15,5,2.8,"99km N of Tura, Meghalaya, India",0,4,106312,15,2969
2021-06-02 15:10:29 IST,36.93,68.11,10,4.4,"190km SSW of Dushanbe, Tajikistan",4,8,69357,13,13409
2021-06-02 15:01:41 IST,36.84,68.4,10,4.3,"193km W of Fayzabad, Afghanistan",2,5,31118,10,9770
2021-06-02 09:38:25 IST,26.55,96.05,10,3.6,"144km SSW of Changlang, Arunachal Pradesh, India",1,1,22481,12,11095
2021-06-01 23:48:30 IST,26.77,92.42,10,3.5,"39km WNW of Tezpur, Assam, India",1,2,23146,10,9343
2021-06-01 16:05:30 IST,36.67,71.5,135,4.2,"97km ESE of Fayzabad, Afghanistan",3,3,133452,10,5828
2021-06-01 15:47:03 IST,33.12,75.87,5,3.1,"88km E of Katra, Jammu and Kashmir, India",4,6,-24514,11,3292
2021-06-01 06:56:31 IST,37.16,71.79,46,4.3,"110km E of Fayzabad, Afghanistan",4,8,66676,6,13887
2021-06-01 01:19:34 IST,23.21,94.64,80,4.7,"136km E of Champhai, Mizoram, India",3,4,61717,13,7746
2021-05-31 21:54:04 IST,28.72,77.13,8,2.4,"13km NNW of New Delhi, India",2,3,85892,7,7242
2021-05-31 09:50:50 IST,26.69,92.35,24,3.8,"44km W of Tezpur, Assam, India",2,6,7178,11,14941
2021-05-31 02:00:36 IST,24.65,94.77,24,3.4,"42km SE of Ukhrul, Manipur, India",0,6,120194,15,5789
2021-05-30 15:26:55 IST,36.35,70.27,59,4.1,"87km SSW of Fayzabad, Afghanistan",4,8,36341,12,12819
2021-05-30 14:23:06 IST,26.69,92.39,16,4.1,"40km W of Tezpur, Assam, India",2,6,156620,9,12942
2021-05-30 12:25:17 IST,34.55,98.29,12,4.7,"767km NNE of Pangin, Arunachal Pradesh, India",5,6,68911,7,3528
2021-05-30 10:20:15 IST,34.61,98.07,10,4.7,"766km NNE of Pangin, Arunachal Pradesh, India",2,5,95219,6,1467
2021-05-29 19:08:16 IST,24.51,94.69,16,3.9,"51km SSE of Ukhrul, Manipur, India",0,4,100188,10,14635
2021-05-29 13:30:11 IST,24.79,91.61,3.4,3.4,"54km SSW of Cherrapunjee, Meghalaya, India",3,5,112212,7,6417
2021-05-29 10:06:50 IST,25.09,92.17,15,3,"48km ESE of Cherrapunjee, Meghalaya, India",5,5,101850,7,83
2021-05-29 07:11:55 IST,38.1,74.14,150,4.5,"335km ENE of Fayzabad, Afghanistan",1,6,78644,5,7510
2021-05-29 01:29:04 IST,25.57,91.78,10,3.5,"11km W of Shillong, Meghalaya, India",0,11,117152,10,9308
2021-05-28 22:21:22 IST,22.53,94.62,90,4.4,"153km WNW of Burma, Myanmar",8,8,123307,17,11652
2021-05-28 12:53:25 IST,37.15,69.31,30,5.3,"110km W of Fayzabad, Afghanistan",1,7,61743,6,14146
2021-05-28 09:28:05 IST,27.76,66.39,10,4.6,"666km NNW of Dwarka, Gujarat, India",2,7,121318,7,13731
2021-05-28 04:14:36 IST,37.82,72.34,10,3.6,"177km ENE of Fayzabad, Afghanistan",3,4,159586,8,14105
2021-05-28 03:16:53 IST,36.07,70.89,170,3.7,"118km SSE of Fayzabad, Afghanistan",4,8,135294,12,530
2021-05-28 01:32:26 IST,38.84,74.71,10,2.8,"412km ENE of Fayzabad, Afghanistan",3,6,146618,5,10691
2021-05-27 23:59:05 IST,25.04,93.52,12,2.7,"48km WNW of Imphal, Manipur, India",0,2,108596,7,3426
2021-05-27 20:34:07 IST,26.54,99.5,10,4,"312km ESE of Changlang, Arunachal Pradesh, India",0,4,53192,10,2853
2021-05-27 18:36:09 IST,34.55,99.06,30,4.8,"791km NNE of Changlang, Arunachal Pradesh, India",3,0,59517,13,12014
2021-05-27 14:24:47 IST,30.66,67.02,100,4.4,"479km SSW of Kabul , Afghanistan",1,6,115994,11,6286
2021-05-27 06:08:38 IST,30.76,65.94,117,4.4,"521km SW of Kabul , Afghanistan",2,0,147138,10,13753
2021-05-26 13:11:23 IST,26.85,88.72,5,3.8,"35km ENE of Siliguri, West Bengal, India",3,7,239295,9,684
2021-05-26 12:24:40 IST,29.33,87,10,3.6,"242km NE of Kathmandu, Nepal",5,9,149091,17,12042
2021-05-26 12:13:31 IST,29.54,86.43,10,3.9,"229km NNE of Kathmandu, Nepal",2,7,41478,4,2095
2021-05-26 02:16:12 IST,28.99,86.46,150,4.5,"180km NE of Kathmandu, Nepal",3,2,61636,14,2689
2021-05-26 00:53:08 IST,23.55,94.58,90,4.3,"128km E of Champhai, Mizoram, India",2,4,213925,13,7186
2021-05-26 00:20:35 IST,25.36,94.11,30,2.6,"35km S of Kohima, Nagaland, India",0,8,89280,6,5964
2021-05-25 04:30:23 IST,34.9,97.83,10,4.5,"789km NNE of Pangin, Arunachal Pradesh, India",0,5,102375,11,7318
2021-05-24 20:35:23 IST,4.24,95.16,52,4.6,"337km SSE of Campbell Bay, Andaman and Nicobar island, India",1,5,51979,10,14103
2021-05-24 19:45:41 IST,33.93,97.17,81,4.3,"668km NNE of Pangin, Arunachal Pradesh, India",1,6,178255,11,9877
2021-05-24 00:31:45 IST,30.94,79.44,22,4.3,"44km NNW of Joshimath, Uttarakhand , India",3,2,125016,7,4390
2021-05-23 13:06:16 IST,37.31,70.51,14,3.3,"23km N of Fayzabad, Afghanistan",1,4,61269,14,2634
2021-05-23 09:16:53 IST,17.36,73.84,5,3.3,"84km NNW of Kolhapur, Maharashtra, India",0,7,50308,11,6329
2021-05-23 07:26:53 IST,37.31,72.32,349,4.1,"158km E of Fayzabad, Afghanistan",1,3,115360,9,6802
2021-05-23 06:56:42 IST,24.79,94.94,109,4.3,"49km ESE of Ukhrul, Manipur, India",1,6,102210,11,9039
2021-05-23 00:56:15 IST,35.27,73.57,5,3.5,"154km NNW of Gulmarg, Jammu and Kashmir, India",0,2,141605,8,4026
2021-05-22 21:10:00 IST,27.73,92.58,10,2.8,"71km ENE of Tawang, Arunachal Pradesh, India",1,8,127348,11,11524
2021-05-22 17:44:52 IST,25.59,99.08,10,4.3,"340km SE of Changlang, Arunachal Pradesh, India",2,10,86775,11,1521
2021-05-22 15:09:38 IST,34.77,97.39,10,4.5,"763km NNE of Pangin, Arunachal Pradesh, India",0,5,72809,11,8428
2021-05-22 13:29:03 IST,33.15,75.92,10,3.3,"93km ENE of Katra, Jammu and Kashmir, India",2,4,92002,11,9371
2021-05-22 12:36:33 IST,34.1,97.8,10,4.5,"704km NNE of Pangin, Arunachal Pradesh, India",2,4,72465,8,3142
2021-05-22 09:33:40 IST,35.47,99.56,34,4.2,"902km NNE of Changlang, Arunachal Pradesh, India",3,8,93490,10,12398
2021-05-22 08:51:19 IST,34.78,97.96,12,4.6,"780km NNE of Pangin, Arunachal Pradesh, India",1,9,100822,11,9250
2021-05-22 08:37:47 IST,34.57,76.64,40,3.6,"46km E of Kargil, Laddakh, India",2,7,55103,5,9703
2021-05-22 08:08:49 IST,34.53,98.43,10,5,"770km NNE of Pangin, Arunachal Pradesh, India",2,7,131533,7,7491
2021-05-22 07:59:33 IST,35.02,97.6,10,4.7,"795km NNE of Pangin, Arunachal Pradesh, India",3,3,81478,11,13648
2021-05-22 07:18:16 IST,25.78,99.01,10,4.1,"320km SE of Changlang, Arunachal Pradesh, India",1,8,57905,10,10424
2021-05-22 06:08:33 IST,19.72,95.56,16,4.1,"184km SSW of Ywangan, Myanmar",2,7,82419,8,5758
2021-05-22 03:29:37 IST,34.56,98.28,10,4.7,"768km NNE of Pangin, Arunachal Pradesh, India",1,2,112112,7,3617
2021-05-22 01:34:33 IST,34.66,98.19,10,4.5,"775km NNE of Pangin, Arunachal Pradesh, India",0,5,104151,9,1112
2021-05-22 01:19:15 IST,34.64,97.94,10,4.5,"765km NNE of Pangin, Arunachal Pradesh, India",1,7,121105,10,2522
2021-05-22 00:33:09 IST,34.49,98.94,10,4.8,"781km NNE of Changlang, Arunachal Pradesh, India",1,6,144917,13,14890
2021-05-21 23:34:14 IST,34.65,98.06,10,7,"770km NNE of Pangin, Arunachal Pradesh, India",5,1,165247,13,6131
